player_name,runs,balls,dismissals,sixes,fours,wickets,runs_conceded,balls_bowled
G Coetzee,31,33,6,2,2,15,490,292
SZ Mulani,1,1,0,0,0,0,57,33
KT Maphaka,8,3,0,0,2,2,148,71
Sumit Kumar,16,16,1,1,2,0,19,12
MP Yadav,5,6,1,0,1,6,356,206
M Siddharth,0,0,0,0,0,8,264,175
SB Dubey,190,125,8,11,14,0,0,0
A Raghuvanshi,850,606,24,35,80,0,0,0
Ashutosh Sharma,532,328,19,39,36,0,0,0
Saurav Chauhan,18,16,3,1,1,0,0,0
RJW Topley,0,0,0,0,0,3,169,88
Kumar Kushagra,21,21,4,0,3,0,0,0
BR Sharath,2,5,1,0,0,0,0,0
KA Maharaj,1,2,1,0,0,2,39,36
WG Jacks,592,375,21,38,49,10,302,190
J Fraser-McGurk,369,186,12,30,36,0,0,0
SD Hope,112,71,6,8,7,0,0,0
Tanush Kotian,24,32,1,0,3,0,0,0
Arshad Khan (2),5,4,1,0,1,0,25,13
S Joseph,0,0,0,0,0,0,51,30
N Thushara,0,0,0,0,0,9,289,198
LB Williams,1,2,0,0,0,1,74,42
AA Kulkarni,26,33,4,0,3,0,0,0
RJ Gleeson,2,2,0,0,0,2,111,73
MJ Suthar,1,2,1,0,0,2,94,50
A Kamboj,74,55,3,4,5,31,823,513
Gulbadin Naib,19,15,1,1,1,0,0,0
D Ferreira,232,148,8,16,19,0,16,6
V Viyaskanth,7,5,0,0,0,1,90,60
V Kaverappa,0,0,0,0,0,2,36,24
Shivam Singh,2,3,0,0,0,0,0,0
T Kohler-Cadmore,10,16,1,0,1,0,0,0
Aniket Verma,309,201,15,25,17,0,0,0
V Puthur,0,0,0,0,0,6,109,73
RD Rickelton,773,469,22,52,71,0,0,0
R Minz,12,20,3,0,1,0,0,0
PVSN Raju,1,1,0,0,0,1,54,29
DS Rathi,3,9,1,0,0,16,762,510
Prince Yadav,5,12,0,0,0,19,695,475
V Nigam,157,92,8,8,18,11,447,270
Priyansh Arya,893,475,29,62,86,0,0,0
Suryansh Shedge,130,80,6,10,7,0,40,19
PWA Mulder,9,12,1,0,1,0,16,6
Zeeshan Ansari,0,0,0,0,0,6,312,196
J Overton,151,98,5,7,14,14,338,217
Ashwani Kumar,1,6,0,0,0,17,336,196
PHKD Mendis,60,51,3,2,4,2,60,42
Himmat Singh,92,74,3,5,5,0,0,0
E Malinga,2,10,0,0,0,28,648,442
SK Rasheed,71,67,5,2,9,0,0,0
JP Inglis,530,310,13,28,56,0,0,0
XC Bartlett,40,29,2,2,3,6,460,251
V Suryavanshi,696,338,18,62,60,0,0,0
A Mhatre,441,250,13,23,51,0,0,0
C Bosch,92,58,3,5,8,9,197,129
JG Bethell,105,74,6,4,16,0,0,0
Karim Janat,0,0,0,0,0,0,30,6
KS Rathore,0,5,1,0,0,0,0,0
Urvil Patel,197,102,10,20,11,0,0,0
M Tiwari,21,12,1,1,2,4,105,75
MJ Owen,0,2,1,0,0,0,0,0
W O'Rourke,0,0,0,0,0,5,101,50
Harsh Dubey,13,11,2,0,2,12,284,175
MP Breetzke,14,12,1,1,1,0,0,0
Musheer Khan,0,3,1,0,0,1,27,12
BKG Mendis,20,11,1,2,1,0,0,0
Sediqullah Atal,22,16,1,2,0,0,0,0
S Arora,113,78,6,8,9,0,0,0
DA Payne,6,5,0,0,0,2,70,31
JA Duffy,0,0,0,0,0,9,266,156
Abhinandan Singh,0,0,0,0,0,3,122,60
